album_name,album_popularity,avg_track_popularity,avg_artist_popularity
The Rise and Fall of a Midwest Princess,88,89.0,88.0
The Giver,78,89.0,88.0
The Rise and Fall of a Midwest Princess,83,88.0,88.0
The Marshall Mathers LP,82,87.0,92.0
The Colour And The Shape,77,85.0,78.0
IGOR,85,85.0,90.0
Onka's Big Moka,71,82.0,65.0
The Fame,79,81.0,94.0
The Massacre,78,81.0,85.0
In Rainbows,80,81.0,86.0
Growin' Up,74,79.0,86.0
Now And Then,57,68.0,86.0
