playlist_id,playlist_name,total_tracks,avg_track_popularity
4tII1FZZlyM7lUBr0y5bvN,"80's 12"" & Extended Remixes",487,NULL
4z3S8we1s6hBhXbiGuqN1Z,"Relaxing Bamboo Flute music | Guzheng, Erhu ",162,NULL
55EsOPHGrXB3S0oEbYsghO,Jazz,198,NULL
58NXb0qHuUjSLgKzFTemwW,sound,724,NULL
58hI5Tk6zqrUacC6Owq0Mf,Asia & Gioli,48,NULL
59BEOKC7uV1Pv1mRg3aMRe,lofi sleep 💤 mellow lo-fi beats,474,NULL
5Caw1wQERXRjvuDSeOx9pS,the best😈😝,656,NULL
5FAJg17Von0Mc8jkHUJQDf,ABBA Gold: Greatest Hits,19,NULL
5FI8rn340FgsOB7B8Ic0DZ,Sleep Music for Deep Sleeping,432,NULL
5J0AuCTRCc71qE7klIbjmA,"Ado ""Ready for WORLD TOUR 2025 Hibana?"" Playlist",25,NULL
5SqR3iQ1rvzjjB8vEPlF8d,Bachata MIX 2025 ❤️ Las Mejores Bachatas Románticas,114,NULL
5Ux99VLE8cG7W656CjR2si,TOP CHRISTIAN HITS 2025,1003,NULL
5XEDGTA0v2FGh8O2Qid8BX,Punk Classics,261,NULL
5XRCwccRexDx6RNmEjpbQV,528 Hertz ✨ Sleep & DNA Repair,232,NULL
5ZiGWV2hUfCF0wgd87Ln34,Happy African Music,11,NULL
5bYALRG460A9NBydIPzNJr,Alan Jackson: The Greatest Hits ,60,NULL
5cwPclg5ZtafoBPWgZMHMb,classical music to study or sleep to,173,NULL
5fMsIcWVx1qkrq5NrCs8r9,Asian Spa,91,NULL
5vVSfOsF8YRueAI1dOI0Lh,Cozy Coffee Shop ☕ Jazz in the Background,211,NULL
5vZGF73NyIiJdofAj1HPdR,ADHD Focus Music (No Lyrics),108,NULL
5zQJXodHqFZNYkvKyM7BGf,Relaxing Asian Music,171,NULL
61pY4D6zyyOc9YrXXBzD3x,♟️☕️Jazzy 🗞️⏳,61,NULL
6HLAIC1GbYU5m8umjOWceB,📦Jazz📦,1253,NULL
6IKQrtMc4c00YzONcUt7QH,Chill  Vibes 2025 🌙,207,NULL
6KqTyKdhaJeC46k3t8hSZw,Ocean Sounds for Sleep (10 Hours),419,NULL
6L0keGopfWZMQ76K4O8bX1,Fall into Sleep Instantly,30,NULL
6MWZPckUF22pOqWMLxmJHC,Zen Spa Music ,205,NULL
6NI9n27zaXCNpncdd6jWDR,SUPERTRAMP - Greatest Hits,22,NULL
6OJBQs9vWu8K8QFQlGm877,100 Best Disney Songs of All Time,72,NULL
6OwjAtZu5ZmYf9qE78rTDn,Jazz,861,NULL
6Pu7xFM5dfvmex41NDwAV9,Creed - One Last Breath (Atliens Dubstep TikTok Remix) DnB,149,NULL
6RjEsUgYQJNECkjHYTIHMV,The Best of Regine Velasquez,188,NULL
6Wu1PLrAuL1aApvX0iX9Rh,Asian lofi,156,NULL
6XMhvUe2OfARE6iEjhx96k,Lullabies for Baby Sleep 2025 💤 🧸😴,100,NULL
6aC4Vi3SEUQrVDc853YpXU,GYM TECHNO MUSIC MIX 2025 💪 Workout Techno Remixes 🏋️‍♂️ Tekno / Tecno Motivation Songs,210,NULL
6hLFIlGNtmnHT30aWqYPUK,.･*’’*･.♬,253,NULL
6jzaVCcrtSETQmZdX7xgMO,THEY DON'T KNOW ME SON,37,NULL
6l2sPFg1xZUfSR6RSMppEI,BEST OF QUEEN🤘HITS,31,NULL
6oz0atJ6JsVOEra9t8irOO,CELINE DION GREATEST HITS,70,NULL
6pnjjHaIuQ1HqB9tIoCMay,Rocky Training,17,NULL
6q5kdVtAcChNB4MrkLZKAv,Naprawdę nie wiem,681,NULL
6sPkDFYJLQ1eNNjURZbAoZ,Deep Sleep Music 528 Hz 😴,300,NULL
6sWNtqsq1ip2quKm6U3UvD,Piano Covers of Famous Songs,490,NULL
6wx6zQaEaQ7pWj7e0CIM3S,Thunderstorm Sounds - 10 Hours for Sleeping,49,NULL
6zCID88oNjNv9zx6puDHKj,Lofi Study 2025,182,NULL
71R43lBYQZ6JQXH6LmRo1I,Reggae Classics 70s 80s & 90s | The Best Reggae Songs Of All Time | Reggae Music Hits | Top Reggae,84,NULL
71jjICYVEDBmQupLqWU1Fc,Punk,368,NULL
72t3yqJQzJrupxWVyBFztJ,Punk Goes Pop Greatest Hits,108,NULL
73vgYUkmhGybPB0JvgM5kH,Africa Remix 80s popular Hits,29,NULL
7AEcPPO8lOV4SK5QbJLQAn,___/)_/)_/)___,492,NULL
7COx1deY89MixCcech5UmI,African Lofi AfroBeats 🌻,361,NULL
7DpTp2kxMKGxKw64DUOG4D,Sound,282,NULL
7H4dd4kghuTrhft08UbIOq,The best 👌,117,NULL
7KP4SLTutz6oQ1Fzkxfk7f,GABBY'S DOLLHOUSE - OFFICIAL PLAYLIST!,60,NULL
7Mg1CTeCXhUSkCDKIKu4qM,Jazz,106,NULL
7bq6yq7ha0AB24UGzkSjNL,Best of Red Hot Chili Peppers 🌶️ RHCP,60,NULL
7bwvWZbKWRUTpfBwL2qpFU,"Classic Country (50s, 60s, 70s, 80s, 90s, 00s)",375,NULL
7fIdjWhWzPbf1g5OSDKOXw,Best country songs (greatest hits),227,NULL
7i8PotqqlAb88Bwybh7PAk,Jazz House 2025,368,NULL
7ugJY6dyWgedoBUwWU3hYJ,☠️PUNK☠️,56,NULL
7vBaajEoq9EHsz1iRhAdPA,Sleep Music 432 Hz,414,NULL
7wNg25tXMIVjCXjDoVqHyY,80s Power Ballads,101,NULL
7zNEJWeJBL9C84YjiJ2jDX,Africa,385,NULL
