album_name,num_artists,popularity,total_tracks
Let's Take It To The Top (Remix),1,0,1
TOP GUN/SOUNDTRACK,1,61,10
Unreal Unearth: Unaired,1,72,23
Not Like Us,1,84,1
Ultra Relaxing Music for Sleep,1,63,4
Unreal Unearth,1,70,16
Unorthodox Jukebox,1,86,10
Under the Starlit Sky,1,61,40
untitled unmastered.,1,67,8
USB,1,71,16
UNFORGIVEN,1,75,13
Up From Below - 10th Anniversary Edition,1,69,13
Une semaine à Paris,1,50,4
THE UNLUCCY LUCCY KID,1,62,14
Übermensch,1,75,8
Up 2 Më,1,72,22
UTOPIA,1,87,19
Un Verano Sin Ti,1,91,23
Unheard,1,68,4
Growin' Up,1,74,12
Unreal Unearth: Unending,1,63,26
Ultraviolence (Deluxe),1,85,14
Underclass Hero,1,45,15
UNDERTALE Soundtrack,1,78,101
Unapologetic (Deluxe),1,70,17
Unleashed,1,70,12
undressed,1,79,1
Up All Night,1,79,18
Undertow,1,65,10
Dizzy up the Girl,1,82,13
The Ultimate Collection,1,60,31
Until I Found You,1,69,1
Uprising,1,77,12
Unleashed,1,67,13
Uptown Special,1,77,11
Up To Here,1,57,11
Unwritten,1,79,14
Unapologetic (Edited Version),1,69,14
Under My Skin,1,68,13
Up All Night,1,62,11
Divinely Uninspired To A Hellish Extent,1,81,12
Ultimate Pitch Perfect (Original Motion Picture Soundtrack),1,61,24
Under The Stars,1,68,24
Use Your Illusion II,1,76,14
Urban Hymns (Remastered 2016),1,75,13
Gems and Minerals,1,32,12
The Golden Age Of Grotesque,1,55,15
Golden Hits,1,58,18
"Golden Child, Chapter 3",1,60,24
Gold,1,38,1
The Gold (Phoebe Bridgers Version),1,63,1
Gold,1,30,1
Gold Cobra,1,37,16
Gold Chain Cowboy,1,63,10
Golden,1,57,1
Gold,1,28,13
Golden Road,1,63,12
Gold,1,67,10
GOLDEN HOUR : Part.1,1,65,6
Gold,1,37,1
Gold,1,47,19
GOLDEN,1,84,11
Golden Age,1,55,12
colt,1,40,11
Golden Hits,1,53,11
Golden,1,76,18
You Are Gold,1,17,1
Incontournable Gold,1,47,18
GOLD,1,62,11
Gold,1,44,13
Gold (feat. Lil Wayne) [Remix],1,39,1
Gold Rush Kid,1,68,12
Golden Hour,1,70,13
Golden Hour,1,71,18
Gold,1,43,9
Gold Past Life,1,58,11
Gold,1,32,6
GOLDEN HOUR : Part.2,1,65,6
The Golden Child,1,63,15
Gold,1,41,1
Gold Rush,1,34,13
Gold,1,43,1
East-Blue (Gold edition),1,32,7
The Golden Age,1,65,14
Goldmine,1,69,13
Praise Gold (I Love You Lord),1,46,20
Gold,1,19,29
Country Hits 2025,1,33,50
How Country Feels,1,65,15
Country Bitch,1,53,1
Country,1,35,80
Chill Country,1,45,30
Bayou Country (Expanded Edition),1,68,11
Dark Country Blues - Vintage Fuzz,1,9,8
Forever Country,1,48,1
90s Country,1,39,32
For the Cold Country,1,47,3
Top Country Hits Of All Time,1,36,24
Country Hits - 50 Greatest - The Very Best Country & Western Classics,1,42,50
Country Party Hits,1,38,20
Country Hits,1,38,48
Soft Country Songs,1,34,25
Pure... Country,1,40,68
Come Down to the Country,1,0,1
Country Grammar,1,72,17
Country Radio Hits,1,37,27
Best Of 2000s Country,1,39,30
Top Country Hits 2024,1,31,55
Hot Country Hits on Acoustic Guitar,1,30,12
Country Till I Die,1,47,3
Country,1,27,13
Country,1,51,12
Country Hits 2024,1,37,79
Countryside Storm,1,54,4
Country Covers,1,50,10
Country chaud,1,22,20
Country Strong (More Music from the Motion Picture),1,47,14
I'm Countryfied,1,60,10
Country Again (Side A),1,62,11
Country Mix,1,46,31
Bell Bottom Country,1,73,16
100 Greatest Country: The Best Hits from Nashville And Beyond,1,42,100
Cottage Music: Country Party,1,17,35
Country Festival,1,38,30
Country Club,1,60,10
Country Stuff The Album,1,64,13
Best Of The 10s: Country,1,37,20
Old Country Music,1,32,30
Old Country Hits,1,42,31
Country Squire,1,72,9
2000s Country Hits,1,32,27
Country Born,1,48,11
Country Classics: American Legends Tom T. Hall (Expanded Edition),1,50,11
Country Dance,1,35,1
Damn Country Music,1,60,11
PUNK'D,1,30,1
Punken,1,45,14
Punk Rock for Kids Who Can't Relate,1,25,4
Punklore et trashdition,1,22,14
Punk Rock Confidential,1,32,15
"Punk Goes Pop, Vol. 5",1,57,12
Judy is a Punk,1,13,1
"Punk-O-Rama, Vol. 3",1,27,25
Punk Goes Acoustic,1,39,20
Punk-O-Rama 2,1,30,17
"Punk-O-Rama, Vol. 1",1,26,16
"Punk-O-Rama, Vol. 9",1,24,24
The Punk Terrorist Anthology Vol. 1,1,35,22
"Punk Goes Pop, Vol. 2",1,50,14
It's Just a Stage We're Going Through,1,32,11
