owner_id,playlist_count,followers,avg_track_popularity,avg_total_tracks
9awd53s3nymgaya2yc2uivk4m,1,158,77.8,237.0
aquaaqua11,1,6,85.0,96.0
biels09,1,12874,89.6,319.0
boxoyvip,1,1655,90.2857142857143,218.0
bryan123446,1,2,83.8888888888889,330.0
c8968fmu0dcalsxbk49113pgf,1,0,85.75,1219.0
camillelarr,1,2,81.4444444444444,2802.0
cbpdvupzfy80hgmuinleictma,1,387,90.0,63.0
colinivich,1,465,84.0,145.0
cwachter343,1,526,84.0,214.0
dailymixfr,1,1,82.0,73.0
dertraudel,1,3545,86.6153846153846,213.0
dlf2he31zeeqiypbj1tde310e,1,1871,83.2857142857143,438.0
drake,1,43015,83.3333333333333,106.0
drklenk,1,47,77.8,211.0
e2qo8it1z6bz6bzo5ap2xs6ik,1,1,83.0952380952381,977.0
e3limgo7xs9jxvvo93m8pyyke,1,1,86.2173913043478,462.0
e56rc1iytfjc8tj204u6mao6z,1,1,85.7,382.0
edsheeran,1,40547,90.0,144.0
electrifymusic,1,268,78.875,295.0
elisendadance,1,139,86.625,169.0
g29gkba2z81vhhvn9bw6afk2n,1,3,84.0652173913043,1361.0
gdmg59uun5noyjwh28hpotmvj,1,1042,85.7142857142857,423.0
grubeblut,1,7,79.0,99.0
hotamazingnetwork,1,240,91.5,149.0
hwnwwrtcz79x0qxjm2fv20di8,1,7501,44.5,657.0
i1pt2zgy72f1w5v58116gqbof,1,8,84.3333333333333,389.0
i3glz0ns481ry65vxwod3q90l,1,3,81.75,1583.0
idveyt7fy2xs4df9vw9ti1nrf,1,87,84.0,121.0
ilpocl806y4djnxtb5woswhg4,1,1,38.0,239.0
immyqs0485h7s9ye5w8xme5h3,1,22,79.0,50.0
isabelleglasgow,1,2413,83.1666666666667,130.0
isabelleh90219,1,4,82.8333333333333,1197.0
itchypoopzkid_official,1,99,84.0,124.0
j0taw2pz8rbx7296x8o26ae8b,1,2017,81.1666666666667,82.0
j9a_,1,12,74.0,538.0
jackingforlife,1,0,84.0,65.0
jasgayin,1,2,73.0909090909091,1231.0
jasmineg73-au,1,9,86.2,614.0
jasonrberwick,1,769,85.0,167.0
jaspotlee,1,3,86.1944444444444,715.0
jtkjbahlxth7bn5em07kisu1q,1,4,88.2222222222222,134.0
k9zj7fcam6ys9wy637ln9a410,1,211,86.9090909090909,193.0
kevenparadis,1,0,84.0,328.0
kirukberk35,1,2283,84.5714285714286,318.0
kqk1veexf6zjem5parncx7cnr,1,686,87.1428571428571,98.0
kt5alslga5pws8mtpoxixguzl,1,0,77.0,251.0
ktaemie,1,20,88.0,535.0
kyra.cody,1,0,83.5,1246.0
l5npt8tengslegdxb48bb5kqu,1,2,83.3,754.0
laurxn_._,1,6,84.5,170.0
linaportoduarte,1,35,86.8636363636364,738.0
linkin_park_official,1,19860,83.0,65.0
maka_97,1,1061,90.5,272.0
mejoresplaylistsspotify,1,254601,79.3333333333333,232.0
michaeljackson,1,25820,77.0,44.0
moatasem.beary,1,12,83.5,241.0
nhieyhr5qmp1xxl6mejwsffp9,1,622,77.5,119.0
nick170708!,1,2214,89.0,100.0
o2rn3wxgyv6mfzbtsewgcft6c,1,1,93.5,366.0
odogphillips,1,38,85.28125,918.0
p2qes4eib0sn601py3pngq0s1,1,0,84.0,2599.0
partyfiesta!,1,6226,88.9047619047619,300.0
patrick_fries,1,3,61.0,28.0
piuwbgev69bwkfw01dx0schy5,1,620,74.5,274.0
qpkwnfjlq06r2cmj64gsdt89h,1,2,84.3333333333333,431.0
qstjcezj4xlun4zyx89spml7o,1,1074,79.5714285714286,227.0
rajtens,1,507,85.0,313.0
riet8dov14yj89m6jjnok0ire,1,146,84.3333333333333,513.0
roberts.mucenieks,1,7,77.0,21.0
roddmar,1,675,84.0,285.0
roimaceda,1,219,36.0,53.0
ryoung73,1,394,84.0,95.0
samuelconollyvieira,1,16,81.7777777777778,643.0
sanik007,1,103043,89.8,299.0
savz8vts72hqdy7von3mqc29g,1,0,85.0,146.0
sexbasstian,1,2497,84.0,683.0
speckmops,1,4,85.3333333333333,281.0
ss0ps6q2roqxk2nkxxyp2z5gu,1,11,81.6111111111111,1614.0
tb8e95es88n0c7shdizntkr3j,1,13,81.1666666666667,1327.0
tdkqms1h1k98zcv23ug77vcb1,1,316,85.6666666666667,134.0
topsify,1,605422,89.3,60.0
toughstuff!music,1,5367,81.6666666666667,130.0
ur94fdrgexz84l0el93g87kxy,1,1,85.2222222222222,62.0
vfy63hlzjtc4gbjooarmccgq1,1,2,85.8333333333333,124.0
vutjziglxhuc1e2b6ay3soph9,1,17,74.0,100.0
vvk188m7ueif0ygf6p9nv7bh0,1,2889,87.0,137.0
wlqww0ndpgkngjwzmzs2najgx,1,8,84.6666666666667,463.0
xywgfh6mdypz002ywwv5jqa5c,1,0,84.4,279.0
y4x7kdkcyx79zbjfcphqx9iio,1,0,88.3333333333333,132.0
yjicf522xiuasnjlvtj7d2gdn,1,0,86.0909090909091,824.0
ywuydivm5d8upiut8z0ylm4sh,1,5600,79.0,159.0
zf0z8xpqwli3kds26xxot7uzv,1,88,93.0,79.0
